
###############################

###############################
ADULT_COMPLEX, FULL, INSPECTION_TRAIN, 100, CTE, NON-MATERIALIZED, Pandas/Original, 4402.074821002316, ['/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/adult_complex/adult_train.csv'; '/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/adult_complex/adult_test.csv']
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, Umbra, 7.935523986816406, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, Pandas/Original, 250.4947710003762, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, PostgreSQL, 560.8539581298828, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, Umbra, 17.966032028198242, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]

###############################

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, Pandas/Original, 45.69319800066296, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, PostgreSQL, 3.510713577270508, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, Umbra, 3.6466121673583984, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, Pandas/Original, 66.88183299957018, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, PostgreSQL, 2.525806427001953, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, Umbra, 4.067182540893555, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, Pandas/Original, 82.91683700008434, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, PostgreSQL, 19.645214080810547, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, Umbra, 7.651805877685547, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, Pandas/Original, 277.29597100005776, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, PostgreSQL, 572.0796585083008, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, Umbra, 22.30548858642578, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]

###############################

###############################

###############################

###############################

###############################

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, Pandas/Original, 58.60708699765382,                 0.0, 0.0, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, Pandas/Original, 51.30621499847621,                 0.0, 0.0, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, PostgreSQL, 1.7135143280029297,                 0.0, 0.0, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, Pandas/Original, 51.53671200241661,                 0.0, 0.0, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, PostgreSQL, 1.2507438659667969,                 0.0, 0.0, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, Pandas/Original, 22.535684998729266,                 0.0, 0.0, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, PostgreSQL, 2.2433598836263022,                 0.6400079857687363, 0.8000049910898909, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, Umbra, 2.858320871988932,                 0.10549688845963424, 0.3248028455226866, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, Pandas/Original, 24.533677998988423,                 0.0, 0.0, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, PostgreSQL, 3.6172072092692056,                 2.4867505064523563, 1.5769434062300258, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, Umbra, 3.241459528605143,                 0.9482973205700143, 0.9738055866393529, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, Pandas/Original, 38.24200300005032,                 0.0, 0.0, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, PostgreSQL, 20.945072174072266,                 5.669340566782921, 2.381037707971657, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, Umbra, 6.3749949137369795,                 0.0011418074387216216, 0.0337906412889963, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, Pandas/Original, 230.35103200527374,                 0.0, 0.0, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, PostgreSQL, 570.134162902832,                 145.16708282978166, 12.048530318249677, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, Umbra, 16.593456268310547,                 4.909371038290071, 2.2157100528476352, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]

###############################

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, Pandas/Original, 65.6972090000636,0.0, 0.0, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################

###############################
ADULT_COMPLEX, FULL, INSPECTION_TRAIN, 100, CTE, NON-MATERIALIZED, Pandas/Original, 19252.444837666797, 1474702.514756827, 1214.373301236826, ['/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/adult_complex/adult_train.csv'; '/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/adult_complex/adult_test.csv']

###############################
ADULT_COMPLEX, FULL, INSPECTION_TRAIN, 100, CTE, NON-MATERIALIZED, PostgreSQL, 1436.7844346682734, 211.883017375549, 14.556202024413821, ['/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/adult_complex/adult_train.csv'; '/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/adult_complex/adult_test.csv']

###############################

###############################
ADULT_COMPLEX, FULL, INSPECTION_TRAIN, 100, CTE, NON-MATERIALIZED, Pandas/Original, 18908.39016133153, 1328135.257199182, 1152.4475073508477, ['/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/adult_complex/adult_train.csv'; '/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/adult_complex/adult_test.csv']

###############################

###############################

###############################
ADULT_COMPLEX, FULL, INSPECTION_TRAIN, 100, CTE, NON-MATERIALIZED, PostgreSQL, 1565.6774676657126, 236364.1706495312, 486.1729842859753, ['/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/adult_complex/adult_train.csv'; '/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/adult_complex/adult_test.csv']

###############################

###############################

###############################

###############################

###############################
ADULT_COMPLEX, FULL, INSPECTION_TRAIN, 100, CTE, NON-MATERIALIZED, PostgreSQL, 1540.3613320013392, 231418.72467771723, 481.06000112014846, ['/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/adult_complex/adult_train.csv'; '/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/adult_complex/adult_test.csv']

###############################

###############################

###############################

###############################

###############################

###############################

###############################

###############################

###############################

###############################

###############################
COMPAS, FULL, INSPECTION_TRAIN, 100, CTE, NON-MATERIALIZED, Umbra, 1071.0864016630997, 199633.41693867592, 446.80355519923506, ['/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/compas/compas_train.csv'; '/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/compas/compas_test.csv']

###############################

###############################
COMPAS, FULL, INSPECTION_TRAIN, 100, CTE, NON-MATERIALIZED, Umbra, 1100.7283873356453, 189936.63877042072, 435.81720797878177, ['/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/compas/compas_train.csv'; '/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/compas/compas_test.csv']

###############################
COMPAS, FULL, INSPECTION_TRAIN, 100, CTE, NON-MATERIALIZED, Umbra, 1080.1316786673851, 211803.3317645327, 460.2209597188428, ['/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/compas/compas_train.csv'; '/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/compas/compas_test.csv']

###############################

###############################
LOAD CSV 1, 146.46005630493164, 146.46005630493164, PostgreSQL/Umbra
LOAD CSV 2, 79.56218719482422, 226.02224349975586, PostgreSQL/Umbra
PROJECT TRAIN, 117.39468574523926, 343.4169292449951, PostgreSQL/Umbra
PROJECT TEST, 56.46562576293945, 399.88255500793457, PostgreSQL/Umbra
SELECT TRAIN 1, 221.2822437286377, 621.1647987365723, PostgreSQL/Umbra
SELECT TRAIN 2, 144.3955898284912, 765.5603885650635, PostgreSQL/Umbra
SELECT TRAIN 3, 144.9885368347168, 910.5489253997803, PostgreSQL/Umbra
SELECT TRAIN 4, 145.44391632080078, 1055.992841720581, PostgreSQL/Umbra
REPLACE TRAIN, 70.07980346679688, 1126.072645187378, PostgreSQL/Umbra
REPLACE TEST, 40.5421257019043, 1166.6147708892822, PostgreSQL/Umbra
BINARIZE TRAIN, 110.81171035766602, 1277.4264812469482, PostgreSQL/Umbra
BINARIZE TEST, 59.136390686035156, 1336.5628719329834, PostgreSQL/Umbra
PIPELINE+MODEL FIT, 558.8769912719727, 1895.439863204956, PostgreSQL/Umbra
PIPELINE+MODEL SCORE, 9.24539566040039, 1904.6852588653564, PostgreSQL/Umbra
LOAD CSV 1, 146.0554599761963, 2050.7407188415527, PostgreSQL/Umbra
LOAD CSV 2, 76.64060592651367, 2127.3813247680664, PostgreSQL/Umbra
PROJECT TRAIN, 113.47723007202148, 2240.858554840088, PostgreSQL/Umbra
PROJECT TEST, 56.941986083984375, 2297.8005409240723, PostgreSQL/Umbra
SELECT TRAIN 1, 220.10040283203125, 2517.9009437561035, PostgreSQL/Umbra
SELECT TRAIN 2, 146.1343765258789, 2664.0353202819824, PostgreSQL/Umbra
SELECT TRAIN 3, 146.73590660095215, 2810.7712268829346, PostgreSQL/Umbra
SELECT TRAIN 4, 148.73909950256348, 2959.510326385498, PostgreSQL/Umbra
REPLACE TRAIN, 71.20585441589355, 3030.7161808013916, PostgreSQL/Umbra
REPLACE TEST, 40.31872749328613, 3071.0349082946777, PostgreSQL/Umbra
BINARIZE TRAIN, 110.39257049560547, 3181.427478790283, PostgreSQL/Umbra
BINARIZE TEST, 59.9818229675293, 3241.4093017578125, PostgreSQL/Umbra
PIPELINE+MODEL FIT, 485.07165908813477, 3726.4809608459473, PostgreSQL/Umbra
PIPELINE+MODEL SCORE, 7.251739501953125, 3733.7327003479004, PostgreSQL/Umbra
LOAD CSV 1, 108.15572738647461, 3841.888427734375, PostgreSQL/Umbra
LOAD CSV 2, 57.15179443359375, 3899.0402221679688, PostgreSQL/Umbra
PROJECT TRAIN, 81.37011528015137, 3980.41033744812, PostgreSQL/Umbra
PROJECT TEST, 39.56437110900879, 4019.974708557129, PostgreSQL/Umbra
SELECT TRAIN 1, 148.26488494873047, 4168.239593505859, PostgreSQL/Umbra
SELECT TRAIN 2, 93.89615058898926, 4262.135744094849, PostgreSQL/Umbra
SELECT TRAIN 3, 94.50364112854004, 4356.639385223389, PostgreSQL/Umbra
SELECT TRAIN 4, 92.84543991088867, 4449.484825134277, PostgreSQL/Umbra
REPLACE TRAIN, 43.779611587524414, 4493.264436721802, PostgreSQL/Umbra
REPLACE TEST, 25.176286697387695, 4518.440723419189, PostgreSQL/Umbra
BINARIZE TRAIN, 68.12310218811035, 4586.5638256073, PostgreSQL/Umbra
BINARIZE TEST, 36.91911697387695, 4623.482942581177, PostgreSQL/Umbra
PIPELINE+MODEL FIT, 351.4225482940674, 4974.905490875244, PostgreSQL/Umbra
PIPELINE+MODEL SCORE, 7.068395614624023, 4981.973886489868, PostgreSQL/Umbra
COMPAS_TIMED, FULL, INSPECTION_TRAIN, 100, VIEW, NON-MATERIALIZED, Pandas/Original, 2448.505823000005, 1379187.495081241, 1174.3881364698984, ['/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/compas/compas_train.csv'; '/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/compas/compas_test.csv']

###############################
LOAD CSV 1, 94.77424621582031, 5076.7481327056885, PostgreSQL/Umbra
LOAD CSV 2, 61.258554458618164, 5138.006687164307, PostgreSQL/Umbra
PROJECT TRAIN, 29.112577438354492, 5167.119264602661, PostgreSQL/Umbra
PROJECT TEST, 31.288862228393555, 5198.408126831055, PostgreSQL/Umbra
SELECT TRAIN 1, 51.546573638916016, 5249.954700469971, PostgreSQL/Umbra
SELECT TRAIN 2, 38.96379470825195, 5288.918495178223, PostgreSQL/Umbra
SELECT TRAIN 3, 39.43181037902832, 5328.350305557251, PostgreSQL/Umbra
SELECT TRAIN 4, 41.92185401916504, 5370.272159576416, PostgreSQL/Umbra
REPLACE TRAIN, 47.41168022155762, 5417.683839797974, PostgreSQL/Umbra
REPLACE TEST, 42.72174835205078, 5460.405588150024, PostgreSQL/Umbra
BINARIZE TRAIN, 19.12689208984375, 5479.532480239868, PostgreSQL/Umbra
BINARIZE TEST, 10.823726654052734, 5490.356206893921, PostgreSQL/Umbra
PIPELINE+MODEL FIT, 214.08557891845703, 5704.441785812378, PostgreSQL/Umbra
PIPELINE+MODEL SCORE, 39.25204277038574, 5743.693828582764, PostgreSQL/Umbra
LOAD CSV 1, 82.97324180603027, 5826.667070388794, PostgreSQL/Umbra
LOAD CSV 2, 72.2804069519043, 5898.947477340698, PostgreSQL/Umbra
PROJECT TRAIN, 35.5076789855957, 5934.455156326294, PostgreSQL/Umbra
PROJECT TEST, 31.085968017578125, 5965.541124343872, PostgreSQL/Umbra
SELECT TRAIN 1, 54.6107292175293, 6020.151853561401, PostgreSQL/Umbra
SELECT TRAIN 2, 42.85573959350586, 6063.007593154907, PostgreSQL/Umbra
SELECT TRAIN 3, 42.333126068115234, 6105.3407192230225, PostgreSQL/Umbra
SELECT TRAIN 4, 44.037580490112305, 6149.378299713135, PostgreSQL/Umbra
REPLACE TRAIN, 38.5899543762207, 6187.9682540893555, PostgreSQL/Umbra
REPLACE TEST, 30.97057342529297, 6218.938827514648, PostgreSQL/Umbra
BINARIZE TRAIN, 12.375593185424805, 6231.314420700073, PostgreSQL/Umbra
BINARIZE TEST, 10.392427444458008, 6241.706848144531, PostgreSQL/Umbra
PIPELINE+MODEL FIT, 179.96644973754883, 6421.67329788208, PostgreSQL/Umbra
PIPELINE+MODEL SCORE, 38.94495964050293, 6460.618257522583, PostgreSQL/Umbra
LOAD CSV 1, 85.48855781555176, 6546.106815338135, PostgreSQL/Umbra
LOAD CSV 2, 73.54211807250977, 6619.6489334106445, PostgreSQL/Umbra
PROJECT TRAIN, 36.116600036621094, 6655.765533447266, PostgreSQL/Umbra
PROJECT TEST, 31.56137466430664, 6687.326908111572, PostgreSQL/Umbra
SELECT TRAIN 1, 53.82347106933594, 6741.150379180908, PostgreSQL/Umbra
SELECT TRAIN 2, 46.204566955566406, 6787.354946136475, PostgreSQL/Umbra
SELECT TRAIN 3, 48.653364181518555, 6836.008310317993, PostgreSQL/Umbra
SELECT TRAIN 4, 59.220075607299805, 6895.228385925293, PostgreSQL/Umbra
REPLACE TRAIN, 38.15484046936035, 6933.383226394653, PostgreSQL/Umbra
REPLACE TEST, 30.0445556640625, 6963.427782058716, PostgreSQL/Umbra
BINARIZE TRAIN, 18.61429214477539, 6982.042074203491, PostgreSQL/Umbra
BINARIZE TEST, 10.735273361206055, 6992.777347564697, PostgreSQL/Umbra
PIPELINE+MODEL FIT, 207.55362510681152, 7200.330972671509, PostgreSQL/Umbra
PIPELINE+MODEL SCORE, 38.27953338623047, 7238.610506057739, PostgreSQL/Umbra
